Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
471,2000,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,40%,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,I would prefer not to work remotely ,Somewhat agree,Strongly agree,Strongly agree,I知 10% more productive when working remotely,2,8,4,10,0.1,7.9,10,6,Poor management,Preparing for work and commuting
472,1985,Male,Financial and Insurance Services,Finance,Sales ,Sales Support ,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,60%,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,40%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I知 10% less productive when working remotely,1,1,2,8,1,6,2,7,"IT equipment (computer, printer, etc.)",My on-the-job learning opportunities
473,1956,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,30%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,60%,Strongly agree,Neither agree nor disagree,Strongly agree,I知 10% more productive when working remotely,1,11,3,1,0,11,3.5,1,Feeling left out and/or isolated,Managing my family responsibilities
474,1961,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,30%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,30%,30%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,3,9,2,2,4,8,2,2,Caring responsibilities,Preparing for work and commuting
475,1990,Female,Education and Training,"Adult, Community and Other Education",Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Less than 10% of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 20% more productive when working remotely,1,8,1,1,0,8,3,1,"IT equipment (computer, printer, etc.)",Managing my family responsibilities
476,1959,Female,Education and Training,"Adult, Community and Other Education",Clerical and administrative ,Personal Assistants and Secretaries,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,30%,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,I知 50% more productive when working remotely (or more),3,9,3,2,0.5,8,5,3,Poor management,My work-life balance
477,1979,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1,7,4,4,1,8,3,4,"IT equipment (computer, printer, etc.)",My work-life balance
478,1976,Male,Manufacturing,Machinery and Equipment Manufacturing,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,50% - About half of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,100% - All of my time,70%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 30% more productive when working remotely,3,7,3,3,0.5,8,4.5,4,"IT equipment (computer, printer, etc.)",My work-life balance
479,1986,Female,Education and Training,Preschool and School Education,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,100% - All of my time,30%,Strongly disagree,Strongly disagree,Strongly disagree,I知 20% more productive when working remotely,0.5,12,3,1,0,8,3,2,Feeling left out and/or isolated,My work-life balance
480,1964,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Health and Welfare Support ,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I would not have preferred to work remotely ,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,I知 50% less productive when working remotely (or less),1,9,3,2,0.5,6,3,2,Feeling left out and/or isolated,Managing my family responsibilities
481,1956,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,20%,20%,Strongly agree,Neither agree nor disagree,Somewhat agree,I知 20% less productive when working remotely,3,8,4,1,3,8,9,4,Feeling left out and/or isolated,Preparing for work and commuting
482,1992,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Arts and Media Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I知 30% more productive when working remotely,2,9,3,0.5,0.5,9,4,0.5,Connectivity (internet connection),Preparing for work and commuting
483,1960,Male,Public Administration and Safety,Defence,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,Less than 10% of my time,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 20% less productive when working remotely,3,10,8,3,1,10,10,3,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
484,1958,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,2,8,4,2,0,8,6,2,Feeling left out and/or isolated,My work-life balance
485,1996,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,20%,90%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,60%,Somewhat agree,Somewhat disagree,Somewhat disagree,I知 20% more productive when working remotely,2.5,8,2,0,0,9,3,1,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
486,1964,Male,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Managers,"Hospitality, Retail and Service Managers",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,70%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,40%,30%,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% less productive when working remotely,1,8,3,3,0.5,9,4,4,"IT equipment (computer, printer, etc.)",My work-life balance
487,1988,Male,Education and Training,"Adult, Community and Other Education",Clerical and administrative ,Clerical and Office Support ,More than 200,No,Other one family household,More than 5 years,Regional,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,70%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,80%,70%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 10% less productive when working remotely,1,7,4,2,0,7,5,4,Poor management,My work-life balance
488,1973,Male,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,Less than 10% of my time,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,20%,Less than 10% of my time,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,20%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,2,9,4,4,0,9,4,4,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
489,1988,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,30%,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 20% less productive when working remotely,1,8,8,3,0,8,3,3,Difficulty collaborating remotely,My work-life balance
490,1962,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,2,8,2,1,0.5,9.5,2,1,Difficulty collaborating remotely,Preparing for work and commuting
491,1988,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,10%,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,10%,I would prefer not to work remotely ,Somewhat disagree,Neither agree nor disagree,Strongly agree,My productivity is about same when I work remotely,2.5,8,1.5,0,1,8,2.5,0,Difficulty collaborating remotely,Preparing for work and commuting
